0.0 -2.5 -0.75 # volume corner 1
3.5 2.5 0.75 # volume corner 2
0.1 # resolution
-1.6552803572267292e-16 0.5536063437033205 -1.6767109814005472
-1.8080754671245812e-16 0.9477806485764554 -1.657324249341478
-1.862645149230957e-16 1.2284290231230932 -1.6771906682119386
-1.4915713109076023e-16 1.53381775394802 -1.5969775010146186
-1.2623786460608243e-16 1.4836315302224774 -1.3124884311366516
-1.2369127944111824e-16 1.2285962499779972 -0.9669538549813937
-1.2369127944111824e-16 1.0374333734284586 -0.5722964851861494
-1.1714291758835314e-16 0.9608116276450112 -0.18604966816442367
-1.3460521586239337e-16 0.960811627645011 0.18604966816442417
-1.3606040738523007e-16 1.037433373428458 0.5722964851861502
-8.512870408594608e-17 1.228596249977998 0.9669538549813946
-6.984919309616089e-17 1.4836315302224783 1.3124884311366516
-7.712515071034432e-17 1.5338177539480202 1.59697750101462
-9.74978320300579e-17 1.2284290231230932 1.6771906682119375
-5.675246939063072e-17 0.9477806485764542 1.6573242493414777
-8.039933163672685e-17 0.4197680771937812 -1.3272985925891256
-1.2332748156040906e-16 0.7119213252331794 -1.3582391124685351
-1.4078977983444929e-16 0.9949974734112108 -1.3937912981082488
-1.5934347175061703e-16 1.170694566011463 -1.5363221811051195
-1.6370904631912707e-16 0.8572884301882184 -1.6390349318737893
-1.6661942936480044e-16 0.3301306197614855 -1.277714973312592
-1.3969838619232177e-16 0.15218711370493063 -0.6638227544418187
-1.4806573744863272e-16 0.1666306251057725 -0.19967692911161386
-1.6334524843841791e-16 0.16663062510577095 0.1996769291116148
-1.0186340659856796e-16 0.1521871137049325 0.6638227544418189
-6.439222488552332e-17 0.33013061976148433 1.2777149733125914
-4.110916052013636e-17 0.8572884301882189 1.6390349318737902
-7.130438461899757e-17 1.1706945660114638 1.5363221811051206
-1.2223608791828154e-16 0.9949974734112109 1.393791298108248
-6.402842700481415e-17 0.7119213252331792 1.3582391124685353
-9.858922567218541e-17 0.3045519355167812 -1.0727431131514564
-7.639755494892597e-17 0.5370166466408665 -1.0880685121609064
-1.1423253454267978e-16 0.8266902116062222 -1.0752741081379162
-1.4915713109076023e-16 1.4933128629217407 -1.2405507382045078
-2.7539499569684266e-16 0.6545384745704247 -2.1197868375774647
5.0567905418574807e-17 -1.9070116852494738 -1.8311576274596046
-1.4370016288012265e-16 -0.7883826670217907 -0.45598723426393006
-1.2441887520253658e-16 -0.5515537503182284 -0.1417683787929473
-1.4733814168721436e-16 -0.5515537503182273 0.14176837879294757
-9.858922567218541e-17 -0.7883826670217918 0.4559872342639306
-1.153239281848073e-16 -1.907011685249476 1.8311576274596046
-1.5425030142068863e-16 0.6545384745704244 2.119786837577463
-1.2369127944111824e-16 1.493312862921739 1.2405507382045065
-8.476490620523691e-17 0.8266902116062226 1.0752741081379151
-9.1313268058002e-17 0.5370166466408665 1.088068512160907
-8.294591680169105e-17 0.20130536296023854 -0.8833658196881808
-9.422365110367536e-17 0.36338938186509084 -0.8775123701851466
-1.025910023599863e-16 0.5358974798299864 -0.7788968904953396
-5.4933479987084863e-17 0.6442923472584875 -0.3587882295599949
3.019522409886122e-17 0.005696273946330092 0.26512670431568724
-2.255546860396862e-17 -0.8593304639478562 0.2301874168433622
-1.506123226135969e-16 -1.0090114366318594 -0.1089268948803836
-1.356966095045209e-16 -0.9435349184676177 -0.06752472359648336
-1.5097612049430608e-16 -0.9435349184676183 0.06752472359648345
-1.404259819537401e-16 -1.009011436631859 0.10892689488038353
-1.6552803572267292e-16 -0.8593304639478578 -0.23018741684336252
-1.7716956790536641e-16 0.005696273946331227 -0.26512670431568813
-1.4479155652225017e-16 0.6442923472584879 0.3587882295599963
-7.821654435247182e-17 0.535897479829986 0.7788968904953394
-9.076757123693824e-17 0.3633893818650905 0.8775123701851468
-7.421476766467094e-17 0.1116415802782193 -0.7537401592260005
-6.257323548197746e-17 0.20635859699528034 -0.7568066791793218
-8.98580765351653e-17 0.2526026265664217 -0.7071006477018313
-4.110916052013636e-17 0.14190268559409674 -0.5698377949396051
-9.276845958083868e-17 -0.2534078998257781 -0.38898206383948203
-5.347828846424818e-17 -0.7656858523383283 -0.2786176732725615
-9.49512468650937e-17 -1.0881481967946915 -0.2046835181434638
-7.930793799459933e-17 -1.1980102446570213 -0.07801887824547796
-1.2441887520253658e-16 -1.1980102446570213 0.07801887824547814
-1.5170371625572442e-16 -1.08814819679469 0.2046835181434636
